일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2023-02-04,급속,5840,5000,3880,4560,4840,5840,7520,11680,16960,22680,25160,26200,29400,26800,30080,27760,26720,23600,20440,16920,14360,12840,9840,6800
2023-02-05,완속,882,567,567,315,238,91,203,441,707,1057,1379,1323,1554,1659,1911,2499,2254,2793,2695,2863,2457,2394,2107,1631
2023-02-05,급속,4400,3800,2720,3480,3920,3920,5320,8400,13400,17600,20400,22200,24600,25320,26760,25800,24360,22160,20320,15920,15760,10480,7200,5160
2023-02-06,완속,504,427,427,119,70,133,252,462,819,1057,973,1260,1036,1050,1512,1778,2618,2933,3689,3318,2604,2387,2338,2079
2023-02-06,급속,3680,3200,2320,1880,2360,4120,6760,12600,17280,21280,24280,29560,32000,28800,28600,27880,29200,24320,24680,19440,17120,13160,10360,6800
2023-02-07,완속,770,476,238,154,98,126,175,497,854,903,1036,1106,1092,924,1386,1918,2702,3073,3535,3444,2555,2506,2359,1344
2023-02-07,급속,4280,3520,2720,2720,3040,5520,7280,11960,16760,21160,26960,28280,30720,28240,27480,29960,30880,27200,23520,21440,17520,13160,9160,7520
2023-02-08,완속,777,518,518,329,119,133,343,406,826,889,1015,1169,1155,1141,1547,1967,2625,2975,3794,3332,2422,2436,2247,2219
2023-02-08,급속,4480,4120,3040,2360,3880,4840,7240,10920,18200,21320,25360,28800,29880,29400,27600,29960,29440,27560,24400,21000,17600,13560,11200,7840
2023-02-09,완속,826,511,511,259,196,126,224,392,903,1050,1190,1099,1148,1211,1414,1932,2520,3059,3549,3318,2793,2471,2422,2352
2023-02-09,급속,4760,4920,3320,2960,3320,4720,7200,11800,17800,22640,24440,27760,31440,31880,31320,32160,31840,29400,25160,21040,17160,13200,9240,6400
2023-02-10,완속,896,406,399,140,182,154,154,434,896,910,1155,1099,1281,1330,1610,1869,2289,3157,3773,3199,2660,2478,2317,2282
2023-02-10,급속,4240,5120,3600,3400,3520,4920,7880,9840,15880,22000,25920,26840,33200,30720,31760,31400,31760,25920,25160,20880,17480,15200,11920,8720
2023-02-11,완속,945,693,420,259,252,224,259,392,833,861,1218,1274,1351,1596,1547,1659,1890,2520,2625,2373,2233,2142,2079,2009
2023-02-11,급속,5040,4880,4080,3880,3880,6080,7440,11160,17040,19240,24080,27240,29000,26840,29320,28320,26360,22920,19800,16760,14280,11720,10640,7120
2023-02-12,완속,861,588,357,322,189,133,224,441,595,1071,1267,1358,1589,1393,1722,1953,2485,2688,2555,2380,2429,1820,1652,1638
2023-02-12,급속,4240,3720,3120,2840,4080,3560,5560,8920,13760,16840,22360,22240,23920,23480,23960,23480,24480,21240,17880,15000,13400,10080,7880,5760
2023-02-13,완속,742,455,210,112,91,154,273,406,686,903,1141,1211,1113,1162,1246,1694,2576,2905,3675,3213,2387,2443,2086,1435
2023-02-13,급속,3600,3160,2320,2240,2200,4000,6640,9600,15960,20280,23400,26760,29920,27880,27640,31160,29400,28400,24760,20320,16800,12760,9080,7000
2023-02-14,완속,693,525,518,196,189,154,364,511,840,742,1106,1106,1197,1092,1484,1988,2345,3248,3276,3549,2730,2562,2436,2387
2023-02-14,급속,4600,3840,2320,2400,3040,5160,7920,11240,18240,20160,22600,28240,29720,27840,28440,27600,30800,26160,24840,22280,17200,13320,10000,7320
2023-02-15,완속,686,609,406,406,140,119,329,427,875,805,973,1183,1162,1225,1617,1904,2338,3143,3472,3521,2667,2723,2688,1974
2023-02-15,급속,4520,4040,4080,3000,3800,4360,8440,11080,16440,21680,24760,27440,32440,26880,29840,32000,30120,27880,26240,20560,17800,14720,10560,7560
2023-02-16,완속,847,574,539,217,175,119,231,420,721,756,1183,1337,1155,1183,1372,1946,2464,3122,3570,3612,2674,2394,2471,2373
2023-02-16,급속,3840,4400,3120,2680,3280,5080,7600,11160,18080,23080,25520,29400,30280,30280,30160,30280,29800,30040,25480,20920,17520,13520,12160,9400
2023-02-17,완속,882,546,385,231,154,161,210,441,959,854,1001,1372,1190,1386,1561,2072,2408,3115,3290,3178,2660,2534,2254,2205
2023-02-17,급속,4520,4200,4120,3200,3680,5840,9080,12080,19480,25000,25760,30320,32120,32080,30880,31960,31480,29440,25360,21080,17320,16040,11920,7640
2023-02-18,완속,1001,546,546,336,273,203,273,462,735,1092,1225,1253,1645,1498,1463,1701,1918,2408,2471,2184,2205,2030,1890,1848
2023-02-18,급속,5200,4680,3720,3400,4560,4840,7560,11000,15960,20480,22080,23800,25280,25800,25760,25600,24880,23560,19000,15880,13320,11000,8800,6640
2023-02-19,완속,1029,1008,378,287,231,196,238,343,665,861,1092,1225,1456,1687,1708,2023,2289,2625,3073,2555,2520,2044,1715,1673
2023-02-19,급속,4040,2760,2800,3160,3000,3600,6000,8560,12480,16360,19680,21320,22440,24560,24880,24760,23920,23480,20040,18320,15360,12840,9480,6960
2023-02-20,완속,546,539,217,105,119,189,224,539,763,924,1281,1232,1197,1092,1470,1967,2478,3010,3962,3493,2597,2527,2233,2205
2023-02-20,급속,4760,3480,2400,2160,2640,4240,7760,11560,17480,21280,24640,27000,30560,29640,32080,30720,31640,28880,27360,21760,18240,13320,11880,8360
2023-02-21,완속,714,581,343,336,147,147,238,553,784,924,854,1218,1204,1218,1302,1911,2457,3052,3836,3318,2891,2870,2415,2366
2023-02-21,급속,4800,3960,3680,2400,3000,4920,8280,13040,18080,22480,27240,37160,35920,29440,31160,31640,32880,29600,26360,22640,20120,14120,10640,7400
2023-02-22,완속,742,560,560,168,91,154,273,448,763,896,1008,1169,1218,1323,1302,1967,2625,3206,3640,3297,2639,2583,2345,2324
2023-02-22,급속,5480,4840,3600,3280,3600,4600,8240,13440,19640,23600,26920,31520,33880,27360,30040,30600,32360,28000,27920,22760,18240,13200,11000,8360
2023-02-23,완속,777,504,504,189,140,175,329,441,770,623,1022,1169,1358,1414,1330,1974,2233,3185,3584,3367,2982,2527,2289,2233
2023-02-23,급속,4240,4360,3440,3400,3040,5320,8000,11200,20120,21400,26400,29800,33080,30480,31720,31040,32080,28880,27240,23040,18000,13840,12240,8880
2023-02-24,완속,931,518,518,301,182,119,210,504,791,791,1225,1099,1246,1344,1680,1792,2534,2821,3794,3304,2968,2681,2492,2422
2023-02-24,급속,4840,4120,3080,3080,4160,5040,8040,13080,19040,23400,26160,30080,32320,32840,31200,31040,31760,28840,25760,23080,19520,15400,12600,9080
2023-02-25,완속,868,567,462,322,245,196,315,455,791,973,1176,1155,1344,1386,1652,1715,2205,2317,2723,2464,2198,2338,1988,1946
2023-02-25,급속,5440,4680,4040,4440,3840,4520,9240,12440,17560,22280,25120,30160,29440,28840,29480,29240,28600,25720,22440,19600,15480,11160,10360,7200
2023-02-26,완속,770,532,525,252,210,217,161,371,875,959,1372,1190,1323,1673,1764,1960,2254,2884,2863,2989,2436,2233,1589,1190
2023-02-26,급속,4400,4960,3680,3680,2960,4320,5600,10880,15640,18520,23200,23840,26200,26240,25720,26520,25160,23760,21320,17600,15800,11960,9000,7120
2023-02-27,완속,588,581,399,147,105,154,217,399,770,805,994,1134,1155,1134,1323,1575,2352,2975,3794,3339,2688,2625,2359,2310
2023-02-27,급속,4120,2960,2360,2240,2880,4480,8560,11240,17520,22760,26200,30840,33320,30640,31800,29520,30360,26960,27120,22360,19840,13600,10880,7160
2023-02-28,완속,854,847,266,203,189,203,224,483,749,903,875,1148,1148,1365,1302,1666,2121,2863,3290,3136,2744,2499,2373,2345
